Results for Memcached on port 11211:
4         Threads
2         Connections per thread
60        Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         6131.01          ---          ---         0.12101         0.10300         0.49500         1.96700       418.43 
Gets        61309.42       552.73     60756.69         0.11626         0.10300         0.46300         1.75100      1583.41 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      67440.43       552.73     60756.69         0.11670         0.10300         0.46300         1.77500      2001.84 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.015        0.000
SET       0.031        5.000
SET       0.039       10.000
SET       0.055       15.000
SET       0.063       20.000
SET       0.071       25.000
SET       0.079       30.000
SET       0.087       35.000
SET       0.095       40.000
SET       0.103       45.000
SET       0.103       50.000
SET       0.111       52.500
SET       0.111       55.000
SET       0.111       57.500
SET       0.119       60.000
SET       0.119       62.500
SET       0.127       65.000
SET       0.127       67.500
SET       0.135       70.000
SET       0.143       72.500
SET       0.143       75.000
SET       0.151       76.250
SET       0.151       77.500
SET       0.151       78.750
SET       0.159       80.000
SET       0.159       81.250
SET       0.167       82.500
SET       0.167       83.750
SET       0.175       85.000
SET       0.175       86.250
SET       0.183       87.500
SET       0.183       88.125
SET       0.191       88.750
SET       0.191       89.375
SET       0.191       90.000
SET       0.199       90.625
SET       0.199       91.250
SET       0.207       91.875
SET       0.215       92.500
SET       0.215       93.125
SET       0.223       93.750
SET       0.231       94.062
SET       0.231       94.375
SET       0.239       94.688
SET       0.247       95.000
SET       0.247       95.312
SET       0.255       95.625
SET       0.263       95.938
SET       0.271       96.250
SET       0.279       96.562
SET       0.287       96.875
SET       0.295       97.031
SET       0.303       97.188
SET       0.311       97.344
SET       0.319       97.500
SET       0.327       97.656
SET       0.343       97.812
SET       0.351       97.969
SET       0.367       98.125
SET       0.383       98.281
SET       0.399       98.438
SET       0.407       98.516
SET       0.415       98.594
SET       0.431       98.672
SET       0.447       98.750
SET       0.455       98.828
SET       0.471       98.906
SET       0.495       98.984
SET       0.511       99.062
SET       0.535       99.141
SET       0.567       99.219
SET       0.583       99.258
SET       0.599       99.297
SET       0.623       99.336
SET       0.647       99.375
SET       0.671       99.414
SET       0.703       99.453
SET       0.735       99.492
SET       0.775       99.531
SET       0.823       99.570
SET       0.879       99.609
SET       0.903       99.629
SET       0.935       99.648
SET       0.967       99.668
SET       1.007       99.688
SET       1.055       99.707
SET       1.111       99.727
SET       1.151       99.746
SET       1.207       99.766
SET       1.287       99.785
SET       1.359       99.805
SET       1.407       99.814
SET       1.455       99.824
SET       1.519       99.834
SET       1.575       99.844
SET       1.639       99.854
SET       1.695       99.863
SET       1.751       99.873
SET       1.831       99.883
SET       1.895       99.893
SET       1.991       99.902
SET       2.063       99.907
SET       2.111       99.912
SET       2.159       99.917
SET       2.191       99.922
SET       2.303       99.927
SET       2.367       99.932
SET       2.431       99.937
SET       2.559       99.941
SET       2.687       99.946
SET       2.831       99.951
SET       2.927       99.954
SET       2.975       99.956
SET       3.103       99.958
SET       3.183       99.961
SET       3.279       99.963
SET       3.359       99.966
SET       3.471       99.968
SET       3.711       99.971
SET       3.903       99.973
SET       4.031       99.976
SET       4.159       99.977
SET       4.255       99.978
SET       4.319       99.979
SET       4.511       99.980
SET       4.639       99.982
SET       4.767       99.983
SET       4.927       99.984
SET       5.055       99.985
SET       5.343       99.987
SET       5.663       99.988
SET       5.759       99.988
SET       5.855       99.989
SET       5.951       99.990
SET       6.143       99.990
SET       6.271       99.991
SET       6.335       99.991
SET       6.463       99.992
SET       6.783       99.993
SET       7.103       99.993
SET       7.711       99.994
SET       7.807       99.994
SET       7.935       99.995
SET       8.319       99.995
SET       8.575       99.995
SET       8.767       99.995
SET       8.895       99.996
SET       9.151       99.996
SET       9.215       99.996
SET       9.279       99.997
SET      10.239       99.997
SET      11.071       99.997
SET      11.071       99.997
SET      11.327       99.997
SET      11.391       99.998
SET      11.391       99.998
SET      12.415       99.998
SET      12.415       99.998
SET      12.735       99.998
SET      12.735       99.998
SET      12.927       99.998
SET      12.927       99.999
SET      12.927       99.999
SET      13.823       99.999
SET      13.823       99.999
SET      13.823       99.999
SET      14.335       99.999
SET      14.335       99.999
SET      14.335       99.999
SET      14.335       99.999
SET      14.463       99.999
SET      14.463       99.999
SET      14.463       99.999
SET      14.463       99.999
SET      14.463       99.999
SET      14.463       99.999
SET      20.479       99.999
SET      20.479      100.000
SET      20.479      100.000
