Results for Redis on port 6379:
1         Threads
1024      Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         6511.70          ---          ---        14.32877        11.39100        64.25500       136.19100       501.65 
Gets        65108.51      6046.91     59061.59        14.29084        11.39100        63.99900       131.07100      2736.92 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      71620.20      6046.91     59061.59        14.29429        11.39100        63.99900       132.09500      3238.57 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       2.879        0.000
SET       9.983        5.000
SET      10.303       10.000
SET      10.431       15.000
SET      10.559       20.000
SET      10.687       25.000
SET      10.815       30.000
SET      10.943       35.000
SET      11.007       40.000
SET      11.199       45.000
SET      11.391       50.000
SET      11.519       52.500
SET      11.647       55.000
SET      11.839       57.500
SET      12.031       60.000
SET      12.287       62.500
SET      12.607       65.000
SET      12.991       67.500
SET      13.567       70.000
SET      14.271       72.500
SET      15.039       75.000
SET      15.423       76.250
SET      15.807       77.500
SET      16.191       78.750
SET      16.639       80.000
SET      16.767       81.250
SET      17.023       82.500
SET      17.151       83.750
SET      17.279       85.000
SET      17.407       86.250
SET      17.535       87.500
SET      17.663       88.125
SET      17.663       88.750
SET      17.791       89.375
SET      17.791       90.000
SET      17.919       90.625
SET      18.047       91.250
SET      18.175       91.875
SET      18.175       92.500
SET      18.431       93.125
SET      18.559       93.750
SET      18.687       94.062
SET      18.815       94.375
SET      19.071       94.688
SET      19.455       95.000
SET      20.223       95.312
SET      22.015       95.625
SET      26.367       95.938
SET      31.871       96.250
SET      36.351       96.562
SET      40.191       96.875
SET      41.983       97.031
SET      43.519       97.188
SET      45.311       97.344
SET      47.103       97.500
SET      48.895       97.656
SET      50.687       97.812
SET      52.223       97.969
SET      54.015       98.125
SET      55.807       98.281
SET      57.343       98.438
SET      58.111       98.516
SET      59.135       98.594
SET      59.903       98.672
SET      60.671       98.750
SET      61.695       98.828
SET      62.719       98.906
SET      63.999       98.984
SET      65.279       99.062
SET      66.559       99.141
SET      68.095       99.219
SET      68.607       99.258
SET      69.119       99.297
SET      69.631       99.336
SET      70.655       99.375
SET      71.167       99.414
SET      72.191       99.453
SET      73.727       99.492
SET      75.263       99.531
SET      77.311       99.570
SET      79.871       99.609
SET      81.919       99.629
SET      83.455       99.648
SET      86.015       99.668
SET      88.575       99.688
SET      91.647       99.707
SET      94.719       99.727
SET      97.791       99.746
SET     101.887       99.766
SET     105.983       99.785
SET     110.079       99.805
SET     112.639       99.814
SET     114.687       99.824
SET     117.247       99.834
SET     119.295       99.844
SET     121.343       99.854
SET     123.903       99.863
SET     126.975       99.873
SET     130.047       99.883
SET     133.119       99.893
SET     137.215       99.902
SET     138.239       99.907
SET     140.287       99.912
SET     141.311       99.917
SET     144.383       99.922
SET     146.431       99.927
SET     148.479       99.932
