Results for Redis on port 6381:
1         Threads
10        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         8108.52          ---          ---         0.11169         0.11100         0.24700         0.27900       624.67 
Gets        81085.12      7367.69     73717.43         0.11116         0.11100         0.23900         0.27900      3403.21 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      89193.64      7367.69     73717.43         0.11121         0.11100         0.23900         0.27900      4027.88 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.015        0.000
SET       0.063        5.000
SET       0.071       10.000
SET       0.079       15.000
SET       0.087       20.000
SET       0.087       25.000
SET       0.095       30.000
SET       0.095       35.000
SET       0.103       40.000
SET       0.103       45.000
SET       0.111       50.000
SET       0.111       52.500
SET       0.111       55.000
SET       0.119       57.500
SET       0.119       60.000
SET       0.119       62.500
SET       0.119       65.000
SET       0.127       67.500
SET       0.127       70.000
SET       0.127       72.500
SET       0.135       75.000
SET       0.135       76.250
SET       0.135       77.500
SET       0.143       78.750
SET       0.143       80.000
SET       0.143       81.250
SET       0.143       82.500
SET       0.151       83.750
SET       0.151       85.000
SET       0.151       86.250
SET       0.159       87.500
SET       0.159       88.125
SET       0.159       88.750
SET       0.159       89.375
SET       0.167       90.000
SET       0.167       90.625
SET       0.167       91.250
SET       0.167       91.875
SET       0.167       92.500
SET       0.175       93.125
SET       0.175       93.750
SET       0.175       94.062
SET       0.175       94.375
SET       0.175       94.688
SET       0.183       95.000
SET       0.183       95.312
SET       0.183       95.625
SET       0.191       95.938
SET       0.191       96.250
SET       0.191       96.562
SET       0.199       96.875
SET       0.199       97.031
SET       0.207       97.188
SET       0.207       97.344
SET       0.215       97.500
SET       0.215       97.656
SET       0.215       97.812
SET       0.223       97.969
SET       0.223       98.125
SET       0.231       98.281
SET       0.231       98.438
SET       0.231       98.516
SET       0.231       98.594
SET       0.239       98.672
SET       0.239       98.750
SET       0.239       98.828
SET       0.239       98.906
SET       0.239       98.984
SET       0.247       99.062
SET       0.247       99.141
SET       0.247       99.219
SET       0.247       99.258
SET       0.247       99.297
SET       0.255       99.336
SET       0.255       99.375
SET       0.255       99.414
SET       0.255       99.453
SET       0.255       99.492
SET       0.255       99.531
SET       0.255       99.570
SET       0.263       99.609
SET       0.263       99.629
SET       0.263       99.648
SET       0.263       99.668
SET       0.263       99.688
SET       0.263       99.707
SET       0.263       99.727
SET       0.263       99.746
SET       0.271       99.766
SET       0.271       99.785
SET       0.271       99.805
SET       0.271       99.814
SET       0.271       99.824
SET       0.271       99.834
SET       0.271       99.844
SET       0.271       99.854
SET       0.279       99.863
SET       0.279       99.873
SET       0.279       99.883
SET       0.279       99.893
SET       0.279       99.902
SET       0.279       99.907
SET       0.279       99.912
SET       0.287       99.917
SET       0.287       99.922
SET       0.287       99.927
SET       0.287       99.932
SET       0.287       99.937
SET       0.295       99.941
SET       0.295       99.946
SET       0.295       99.951
SET       0.295       99.954
SET       0.303       99.956
SET       0.303       99.958
SET       0.303       99.961
SET       0.303       99.963
SET       0.311       99.966
SET       0.311       99.968
SET       0.311       99.971
SET       0.319       99.973
SET       0.319       99.976
SET       0.327       99.977
SET       0.327       99.978
SET       0.327       99.979
SET       0.327       99.980
SET       0.335       99.982
SET       0.335       99.983
SET       0.335       99.984
SET       0.343       99.985
SET       0.343       99.987
SET       0.343       99.988
SET       0.351       99.988
SET       0.351       99.989
SET       0.351       99.990
SET       0.359       99.990
SET       0.359       99.991
SET       0.359       99.991
SET       0.367       99.992
SET       0.367       99.993
SET       0.375       99.993
SET       0.383       99.994
SET       0.383       99.994
SET       0.391       99.995
SET       0.391       99.995
SET       0.399       99.995
SET       0.407       99.995
SET       0.407       99.996
SET       0.415       99.996
SET       0.415       99.996
SET       0.423       99.997
SET       0.431       99.997
SET       0.439       99.997
SET       0.439       99.997
SET       0.447       99.997
SET       0.447       99.998
SET       0.447       99.998
SET       0.455       99.998
SET       0.455       99.998
SET       0.463       99.998
SET       0.471       99.998
SET       0.471       99.998
SET       0.471       99.999
SET       0.479       99.999
SET       0.479       99.999
SET       0.487       99.999
SET       0.495       99.999
SET       0.495       99.999
SET       0.503       99.999
SET       0.511       99.999
SET       0.519       99.999
SET       0.527       99.999
SET       0.527       99.999
SET       0.535       99.999
SET       0.543       99.999
SET       0.551       99.999
SET       0.551       99.999
SET       0.559       99.999
SET       0.567      100.000
SET       0.591      100.000
