Results for Redis on port 6379:
1         Threads
1         Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         1635.82          ---          ---         0.05567         0.05500         0.09500         0.15900       126.02 
Gets        16358.22       778.46     15579.76         0.05472         0.05500         0.09500         0.15900       690.58 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      17994.05       778.46     15579.76         0.05480         0.05500         0.09500         0.15900       816.61 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.015        0.000
SET       0.055        5.000
SET       0.055       10.000
SET       0.055       15.000
SET       0.055       20.000
SET       0.055       25.000
SET       0.055       30.000
SET       0.055       35.000
SET       0.055       40.000
SET       0.055       45.000
SET       0.055       50.000
SET       0.055       52.500
SET       0.055       55.000
SET       0.055       57.500
SET       0.055       60.000
SET       0.055       62.500
SET       0.055       65.000
SET       0.055       67.500
SET       0.055       70.000
SET       0.055       72.500
SET       0.055       75.000
SET       0.063       76.250
SET       0.063       77.500
SET       0.063       78.750
SET       0.063       80.000
SET       0.063       81.250
SET       0.063       82.500
SET       0.063       83.750
SET       0.063       85.000
SET       0.063       86.250
SET       0.063       87.500
SET       0.063       88.125
SET       0.063       88.750
SET       0.063       89.375
SET       0.071       90.000
SET       0.071       90.625
SET       0.071       91.250
SET       0.071       91.875
SET       0.071       92.500
SET       0.071       93.125
SET       0.071       93.750
SET       0.071       94.062
SET       0.071       94.375
SET       0.079       94.688
SET       0.079       95.000
SET       0.079       95.312
SET       0.079       95.625
SET       0.079       95.938
SET       0.079       96.250
SET       0.079       96.562
SET       0.079       96.875
SET       0.079       97.031
SET       0.079       97.188
SET       0.087       97.344
SET       0.087       97.500
SET       0.087       97.656
SET       0.087       97.812
SET       0.087       97.969
SET       0.087       98.125
SET       0.087       98.281
SET       0.087       98.438
SET       0.087       98.516
SET       0.087       98.594
SET       0.095       98.672
SET       0.095       98.750
SET       0.095       98.828
SET       0.095       98.906
SET       0.095       98.984
SET       0.095       99.062
SET       0.095       99.141
SET       0.095       99.219
SET       0.103       99.258
SET       0.103       99.297
SET       0.103       99.336
SET       0.103       99.375
SET       0.103       99.414
SET       0.103       99.453
SET       0.103       99.492
SET       0.103       99.531
SET       0.111       99.570
SET       0.111       99.609
SET       0.111       99.629
SET       0.111       99.648
SET       0.111       99.668
SET       0.111       99.688
SET       0.119       99.707
SET       0.119       99.727
SET       0.119       99.746
SET       0.127       99.766
SET       0.127       99.785
SET       0.135       99.805
SET       0.135       99.814
SET       0.143       99.824
SET       0.143       99.834
SET       0.143       99.844
SET       0.151       99.854
SET       0.151       99.863
SET       0.151       99.873
SET       0.151       99.883
SET       0.159       99.893
SET       0.159       99.902
SET       0.159       99.907
SET       0.159       99.912
SET       0.159       99.917
SET       0.167       99.922
SET       0.167       99.927
SET       0.167       99.932
SET       0.167       99.937
SET       0.167       99.941
SET       0.167       99.946
SET       0.175       99.951
SET       0.175       99.954
SET       0.175       99.956
SET       0.175       99.958
SET       0.175       99.961
SET       0.175       99.963
SET       0.175       99.966
SET       0.175       99.968
SET       0.183       99.971
SET       0.183       99.973
SET       0.183       99.976
SET       0.191       99.977
SET       0.191       99.978
SET       0.191       99.979
SET       0.191       99.980
SET       0.191       99.982
SET       0.199       99.983
SET       0.199       99.984
SET       0.207       99.985
SET       0.207       99.987
SET       0.207       99.988
SET       0.215       99.988
SET       0.215       99.989
SET       0.215       99.990
SET       0.223       99.990
SET       0.223       99.991
SET       0.223       99.991
SET       0.231       99.992
SET       0.239       99.993
SET       0.239       99.993
SET       0.239       99.994
SET       0.247       99.994
SET       0.247       99.995
SET       0.247       99.995
SET       0.247       99.995
SET       0.247       99.995
SET       0.255       99.996
SET       0.263       99.996
SET       0.271       99.996
SET       0.279       99.997
SET       0.295       99.997
SET       0.295       99.997
SET       0.303       99.997
SET       0.303       99.997
SET       0.303       99.998
SET       0.311       99.998
SET       0.319       99.998
SET       0.319       99.998
SET       0.319       99.998
SET       0.327       99.998
SET       0.335       99.998
SET       0.335       99.999
SET       0.375       99.999
SET       0.407       99.999
SET       0.503       99.999
SET       0.503       99.999
SET       0.543       99.999
SET       0.559       99.999
SET       0.719       99.999
SET       0.719       99.999
SET       0.879       99.999
SET       0.879       99.999
SET       1.271       99.999
SET       1.271       99.999
SET       2.047       99.999
SET       2.047       99.999
SET       2.047       99.999
SET       2.063      100.000
SET       2.063      100.000
