Results for Redis on port 6381:
1         Threads
5         Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         5467.03          ---          ---         0.08178         0.07900         0.17500         0.25500       421.18 
Gets        54670.29      1758.94     52911.35         0.08079         0.07900         0.17500         0.25500      2188.03 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      60137.32      1758.94     52911.35         0.08088         0.07900         0.17500         0.25500      2609.21 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.015        0.000
SET       0.047        5.000
SET       0.047       10.000
SET       0.055       15.000
SET       0.055       20.000
SET       0.063       25.000
SET       0.063       30.000
SET       0.063       35.000
SET       0.071       40.000
SET       0.071       45.000
SET       0.079       50.000
SET       0.079       52.500
SET       0.079       55.000
SET       0.079       57.500
SET       0.087       60.000
SET       0.087       62.500
SET       0.087       65.000
SET       0.087       67.500
SET       0.095       70.000
SET       0.095       72.500
SET       0.103       75.000
SET       0.103       76.250
SET       0.103       77.500
SET       0.103       78.750
SET       0.103       80.000
SET       0.111       81.250
SET       0.111       82.500
SET       0.111       83.750
SET       0.111       85.000
SET       0.119       86.250
SET       0.119       87.500
SET       0.119       88.125
SET       0.119       88.750
SET       0.127       89.375
SET       0.127       90.000
SET       0.127       90.625
SET       0.127       91.250
SET       0.127       91.875
SET       0.135       92.500
SET       0.135       93.125
SET       0.135       93.750
SET       0.135       94.062
SET       0.143       94.375
SET       0.143       94.688
SET       0.143       95.000
SET       0.143       95.312
SET       0.143       95.625
SET       0.151       95.938
SET       0.151       96.250
SET       0.151       96.562
SET       0.151       96.875
SET       0.151       97.031
SET       0.159       97.188
SET       0.159       97.344
SET       0.159       97.500
SET       0.159       97.656
SET       0.159       97.812
SET       0.159       97.969
SET       0.167       98.125
SET       0.167       98.281
SET       0.167       98.438
SET       0.167       98.516
SET       0.167       98.594
SET       0.175       98.672
SET       0.175       98.750
SET       0.175       98.828
SET       0.175       98.906
SET       0.175       98.984
SET       0.183       99.062
SET       0.183       99.141
SET       0.183       99.219
SET       0.183       99.258
SET       0.191       99.297
SET       0.191       99.336
SET       0.191       99.375
SET       0.191       99.414
SET       0.199       99.453
SET       0.199       99.492
SET       0.199       99.531
SET       0.207       99.570
SET       0.207       99.609
SET       0.207       99.629
SET       0.215       99.648
SET       0.215       99.668
SET       0.215       99.688
SET       0.223       99.707
SET       0.223       99.727
SET       0.223       99.746
SET       0.231       99.766
SET       0.231       99.785
SET       0.231       99.805
SET       0.239       99.814
SET       0.239       99.824
SET       0.239       99.834
SET       0.247       99.844
SET       0.247       99.854
SET       0.247       99.863
SET       0.255       99.873
SET       0.255       99.883
SET       0.255       99.893
SET       0.255       99.902
SET       0.263       99.907
SET       0.263       99.912
SET       0.263       99.917
SET       0.263       99.922
SET       0.271       99.927
SET       0.271       99.932
SET       0.271       99.937
SET       0.271       99.941
SET       0.279       99.946
SET       0.279       99.951
SET       0.279       99.954
SET       0.287       99.956
SET       0.287       99.958
SET       0.287       99.961
SET       0.287       99.963
SET       0.295       99.966
SET       0.295       99.968
SET       0.295       99.971
SET       0.303       99.973
SET       0.303       99.976
SET       0.303       99.977
SET       0.303       99.978
SET       0.311       99.979
SET       0.311       99.980
SET       0.311       99.982
SET       0.311       99.983
SET       0.319       99.984
SET       0.319       99.985
SET       0.327       99.987
SET       0.335       99.988
SET       0.335       99.988
SET       0.343       99.989
SET       0.343       99.990
SET       0.351       99.990
SET       0.359       99.991
SET       0.367       99.991
SET       0.375       99.992
SET       0.383       99.993
SET       0.391       99.993
SET       0.407       99.994
SET       0.415       99.994
SET       0.423       99.995
SET       0.431       99.995
SET       0.447       99.995
SET       0.463       99.995
SET       0.479       99.996
SET       0.495       99.996
SET       0.511       99.996
SET       0.543       99.997
SET       0.567       99.997
SET       0.591       99.997
SET       0.607       99.997
SET       0.639       99.997
SET       0.663       99.998
SET       0.703       99.998
SET       0.727       99.998
SET       0.831       99.998
SET       1.303       99.998
SET       2.079       99.998
SET       2.111       99.998
SET       2.111       99.999
SET       2.127       99.999
SET       2.143       99.999
SET       2.175       99.999
SET       4.959       99.999
SET       5.471       99.999
SET       5.983       99.999
SET       7.903       99.999
SET       8.095       99.999
SET       9.663       99.999
SET      11.199       99.999
SET      11.583       99.999
SET      11.839       99.999
SET      12.543       99.999
SET      15.679       99.999
SET      20.351       99.999
SET      20.351      100.000
SET      24.831      100.000
