Results for Memcached on port 11211:
4         Threads
2         Connections per thread
60        Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets        10229.46          ---          ---         0.07207         0.06300         0.27900         0.91900       698.16 
Gets       102293.85       914.78    101379.07         0.06923         0.06300         0.26300         0.84700      2641.49 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     112523.31       914.78    101379.07         0.06949         0.06300         0.26300         0.84700      3339.65 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.015        0.000
SET       0.031        5.000
SET       0.031       10.000
SET       0.039       15.000
SET       0.039       20.000
SET       0.039       25.000
SET       0.047       30.000
SET       0.047       35.000
SET       0.055       40.000
SET       0.055       45.000
SET       0.063       50.000
SET       0.063       52.500
SET       0.063       55.000
SET       0.071       57.500
SET       0.071       60.000
SET       0.071       62.500
SET       0.079       65.000
SET       0.079       67.500
SET       0.079       70.000
SET       0.087       72.500
SET       0.087       75.000
SET       0.087       76.250
SET       0.095       77.500
SET       0.095       78.750
SET       0.095       80.000
SET       0.103       81.250
SET       0.103       82.500
SET       0.103       83.750
SET       0.111       85.000
SET       0.111       86.250
SET       0.111       87.500
SET       0.119       88.125
SET       0.119       88.750
SET       0.119       89.375
SET       0.119       90.000
SET       0.127       90.625
SET       0.127       91.250
SET       0.127       91.875
SET       0.135       92.500
SET       0.135       93.125
SET       0.143       93.750
SET       0.143       94.062
SET       0.143       94.375
SET       0.151       94.688
SET       0.151       95.000
SET       0.151       95.312
SET       0.159       95.625
SET       0.159       95.938
SET       0.167       96.250
SET       0.167       96.562
SET       0.175       96.875
SET       0.175       97.031
SET       0.183       97.188
SET       0.183       97.344
SET       0.191       97.500
SET       0.191       97.656
SET       0.199       97.812
SET       0.199       97.969
SET       0.207       98.125
SET       0.215       98.281
SET       0.223       98.438
SET       0.231       98.516
SET       0.239       98.594
SET       0.247       98.672
SET       0.255       98.750
SET       0.255       98.828
SET       0.271       98.906
SET       0.279       98.984
SET       0.287       99.062
SET       0.303       99.141
SET       0.319       99.219
SET       0.335       99.258
SET       0.343       99.297
SET       0.351       99.336
SET       0.367       99.375
SET       0.375       99.414
SET       0.391       99.453
SET       0.407       99.492
SET       0.423       99.531
SET       0.447       99.570
SET       0.471       99.609
SET       0.487       99.629
SET       0.503       99.648
SET       0.511       99.668
SET       0.527       99.688
SET       0.551       99.707
SET       0.567       99.727
SET       0.591       99.746
SET       0.615       99.766
SET       0.639       99.785
SET       0.671       99.805
SET       0.687       99.814
SET       0.703       99.824
SET       0.719       99.834
SET       0.743       99.844
SET       0.767       99.854
SET       0.791       99.863
SET       0.815       99.873
SET       0.863       99.883
SET       0.895       99.893
SET       0.927       99.902
SET       0.959       99.907
SET       0.967       99.912
SET       0.991       99.917
SET       1.015       99.922
SET       1.047       99.927
SET       1.079       99.932
SET       1.111       99.937
SET       1.143       99.941
SET       1.175       99.946
SET       1.223       99.951
SET       1.247       99.954
SET       1.279       99.956
SET       1.311       99.958
SET       1.319       99.961
SET       1.351       99.963
SET       1.399       99.966
SET       1.447       99.968
SET       1.487       99.971
SET       1.535       99.973
SET       1.575       99.976
SET       1.599       99.977
SET       1.671       99.978
SET       1.719       99.979
SET       1.759       99.980
SET       1.791       99.982
SET       1.847       99.983
SET       1.903       99.984
SET       1.959       99.985
SET       2.039       99.987
SET       2.191       99.988
SET       2.223       99.988
SET       2.271       99.989
SET       2.319       99.990
SET       2.351       99.990
SET       2.415       99.991
SET       2.511       99.991
SET       2.575       99.992
SET       2.655       99.993
SET       2.751       99.993
SET       3.023       99.994
SET       3.087       99.994
SET       3.151       99.995
SET       3.167       99.995
SET       3.263       99.995
SET       3.279       99.995
SET       3.375       99.996
SET       3.551       99.996
SET       3.679       99.996
SET       3.903       99.997
SET       3.967       99.997
SET       3.983       99.997
SET       4.079       99.997
SET       4.079       99.997
SET       4.127       99.998
SET       4.127       99.998
SET       4.223       99.998
SET       4.319       99.998
SET       4.383       99.998
SET       4.735       99.998
SET       4.735       99.998
SET       4.991       99.999
SET       4.991       99.999
SET       5.023       99.999
SET       5.023       99.999
SET       5.023       99.999
SET       5.823       99.999
SET       5.823       99.999
SET       7.743       99.999
SET       7.743       99.999
SET       8.703       99.999
SET       8.703       99.999
SET       8.703       99.999
SET       8.703       99.999
SET       8.703       99.999
SET       8.703       99.999
SET       8.703       99.999
SET       8.703      100.000
SET      10.111      100.000
